,n,solved_pct,hom_pct,median_hpo,unique_genes
PAVS-Saudi,5132.0,46.62899454403741,52.221356196414646,2.5,1748.0
DDD (UK),1856.0,100.0,0.0,10.0,1339.0
PAVS-mixed,522.0,27.203065134099617,1.9157088122605364,3.0,114.0
